2025-04-26 20:28:15,936 - INFO - Entered LONG at 92833.14, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,936 - INFO - Exited LONG at 92617.37 → Return: -0.23%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,936 - INFO - Entered LONG at 92142.72, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,936 - INFO - Exited LONG at 92465.13 → Return: 0.35%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,937 - INFO - Entered LONG at 93315.51, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,937 - INFO - Exited LONG at 93322.94 → Return: 0.01%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,938 - INFO - Entered LONG at 93476.47, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,938 - INFO - Exited LONG at 93274.93 → Return: -0.22%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,938 - INFO - Entered LONG at 93312.68, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,938 - INFO - Exited LONG at 93055.20 → Return: -0.28%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,939 - INFO - Entered LONG at 93319.84, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,939 - INFO - Exited LONG at 93573.23 → Return: 0.27%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,939 - INFO - Entered LONG at 94037.95, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,939 - INFO - Exited LONG at 94245.29 → Return: 0.22%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,940 - INFO - Entered LONG at 95048.95, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,940 - INFO - Exited LONG at 94862.05 → Return: -0.20%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,940 - INFO - Entered LONG at 94766.05, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,941 - INFO - Exited LONG at 94599.50 → Return: -0.18%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,941 - INFO - Entered LONG at 94765.67, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,941 - INFO - Exited LONG at 94525.43 → Return: -0.25%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,941 - INFO - Entered LONG at 94907.01, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,941 - INFO - Exited LONG at 94981.28 → Return: 0.08%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,942 - INFO - Entered LONG at 94627.64, Size: 0.0000, Capital: 9.90
